iter	Passed	Remaining
326	3015328	6205858
327	3021323	6190028
328	3027188	6173991
329	3032741	6157383
330	3038399	6141055
331	3044166	6125010
332	3050327	6109814
333	3056136	6093973
334	3062169	6078635
335	3067949	6062852
336	3073852	6047372
337	3080189	6032796
338	3086812	6018829
339	3092653	6003386
340	3098579	5988163
341	3104263	5972529
342	3110014	5957083
343	3115727	5941618
344	3121955	5927191
345	3128470	5913352
346	3134688	5898995
347	3141158	5885159
348	3147705	5871507
349	3154759	5858839
350	3160720	5844181
351	3166625	5829469
352	3173225	5816082
353	3179207	5801603
354	3185079	5786974
355	3191100	5772665
356	3197930	5759858
357	3204360	5746367
358	3210334	5732101
359	3216282	5717836
360	3221882	5702999
361	3228572	5690135
362	3234337	5675682
363	3240327	5661670
364	3246086	5647301
365	3252689	5634439
366	3258151	5619646
367	3264906	5607121
368	3270988	5593479
369	3276974	5579713
370	3282653	5565469
371	3289896	5553911
372	3296000	5540462
373	3301761	5526477
374	3307287	5512145
375	3312583	5497478
376	3318846	5484459
377	3325229	5471674
378	3331209	5458261
379	3337340	5445134
380	3343290	5431750
381	3349189	5418322
382	3355120	5404985
383	3360930	5391492
384	3366858	5378227
385	3372947	5365258
386	3379483	5353032
387	3386015	5340827
388	3391866	5327585
389	3397734	5314404
390	3404356	5302437
391	3410152	5289216
392	3415972	5276069
393	3421594	5262655
394	3427999	5250480
395	3433973	5237677
396	3440007	5224998
397	3445818	5212017
398	3451802	5199331
399	3457887	5186830
400	3464111	5174570
401	3469177	5160616
402	3474981	5147800
403	3481303	5135784
404	3487777	5124018
405	3493105	5110602
406	3498869	5097861
407	3504964	5085635
408	3511158	5073580
409	3517691	5062043
410	3523826	5049960
411	3530175	5038211
412	3536306	5026179
413	3543536	5015730
414	3549964	5004166
415	3556948	4993407
416	3563195	4981638
417	3570094	4970801
418	3576631	4959481
419	3583112	4948107
420	3589781	4937015
421	3595665	4924869
422	3602029	4913406
423	3608432	4902021
424	3614821	4890640
425	3620976	4878968
426	3627247	4867477
427	3632860	4855131
428	3639436	4844098
429	3645983	4833047
430	3651743	4820979
431	3658514	4810269
432	3664129	4798062
433	3669904	4786096
434	3675264	4773620
435	3681184	4761899
436	3687380	4750561
437	3693436	4739066
438	3699701	4727864
439	3704996	4715450
440	3711310	4704359
441	3717531	4693173
442	3723466	4681649
443	3729821	4670677
444	3735195	4658502
445	3741718	4647785
446	3748084	4636892
447	3753893	4625333
448	3759350	4613367
449	3765019	4601690
450	3770547	4589868
451	3776941	4579123
452	3782625	4567540
453	3788490	4556202
454	3794691	4545289
455	3801046	4534582
456	3807414	4523908
457	3813531	4512956
458	3819090	4501367
459	3825126	4490365
460	3831019	4479218
461	3837140	4468358
462	3843590	4457901
463	3849709	4447078
464	3856322	4436844
465	3862699	4426354
466	3869213	4416040
467	3874486	4404331
468	3880532	4393524
469	3886542	4382696
470	3893204	4372622
471	3898581	4361125
472	3904704	4350484
473	3910641	4339657
474	3915938	4328142
475	3921964	4317456
476	3927978	4306776
477	3933439	4295513
478	3940097	4285575
479	3946514	4275390
480	3951645	4263834
481	3957938	4253552
482	3964262	4243320
483	3970779	4233310
484	3976769	4222755
485	3983120	4212600
486	3989126	4202097
487	3995007	4191483
488	4001719	4181756
489	4007524	4171096
490	4014078	4161233
491	4020354	4151097
492	4026752	4141102
493	4032096	4130041
494	4038476	4120061
495	4044788	4110027
496	4051308	4100217
497	4058001	4090595
498	4063548	4079835
499	4069509	4069509
500	4075889	4059618
501	4081975	4049449
